Accuracy,Precision,Recall,F1-Score,Normal_Detect_Rate,Atk_Detect_Rate,epochs,batch_size,learning_rate,Training_Time,Confusion_Matrix,ROC_AUC
0.9991427484712835,0.9990808823529411,0.9998911612393575,0.9994858575737742,0.9954006846309137,0.9998911612393575,5,64,0.001,766.4570109844208,"[[56703, 262], [31, 284794]]",0.9997636966263498
0.978147400450569,0.9907982842339218,0.9829052927236022,0.9868360061404946,0.9543579390854033,0.9829052927236022,5,64,0.0005,657.036369562149,"[[54365, 2600], [4869, 279956]]",0.9976324435056463
0.9992188185728078,0.9997190202235194,0.9993434565083823,0.9995312030873876,0.9985956288949355,0.9993434565083823,10,64,0.001,1203.253806591034,"[[56885, 80], [187, 284638]]",0.999950561342049
0.9972351443869042,0.9969818349883055,0.9997085929956991,0.9983433521086761,0.9848679013429299,0.9997085929956991,10,64,0.0005,1213.977313041687,"[[56103, 862], [83, 284742]]",0.9989036562731768
0.9987185113666286,0.9992872015814995,0.9991749319757746,0.9992310636250962,0.9964364083208987,0.9991749319757746,5,128,0.001,453.3232276439667,"[[56762, 203], [235, 284590]]",0.9992136395460388
0.9980806928230785,0.9982676209947503,0.9994312297024489,0.9988490864623795,0.9913280084262266,0.9994312297024489,5,128,0.0005,450.78945565223694,"[[56471, 494], [162, 284663]]",0.998565002036318
0.9913631177038532,0.9906490974603561,0.9990660932151321,0.994839792333106,0.952848240147459,0.9990660932151321,10,128,0.001,1075.9732856750488,"[[54279, 2686], [266, 284559]]",0.9989813881460456
0.9958190701892975,0.999277675595301,0.9957026244185025,0.9974869467194015,0.9964012990432722,0.9957026244185025,10,128,0.0005,1084.8810606002808,"[[56760, 205], [1224, 283601]]",0.9992388041739364
