Accuracy,Precision,Recall,F1-Score,Normal_Detect_Rate,Atk_Detect_Rate,Training_Time,Confusion_Matrix,ROC_AUC,metric,n_neighbors,weights
0.9988765031159484,0.9995890050057082,0.9990625822873694,0.9993257243195786,0.9979461072588257,0.999062582287366,0.3838791847229004,"[[56848, 117], [267, 284558]]",0.9987227001656983,euclidean,3,uniform
0.9989233154861172,0.9995855184356482,0.9991222680593347,0.9993538395625775,0.9979285526200123,0.9991222680593312,0.15621495246887207,"[[56847, 118], [250, 284575]]",0.9987227394567796,euclidean,3,distance
0.9985751484829867,0.9995572578094803,0.9987325550776793,0.9991447362644117,0.997788115509506,0.9987325550776758,0.14017891883850098,"[[56839, 126], [361, 284464]]",0.9988165540166968,euclidean,5,uniform
0.9986863278621376,0.9995748687714762,0.9988484156938471,0.9992115101950503,0.9978758887035725,0.9988484156938436,0.13483524322509766,"[[56844, 121], [328, 284497]]",0.9988166292398573,euclidean,5,distance
0.9983293835396003,0.9995817105577661,0.9984130606512771,0.9989970438261988,0.9979109979811991,0.9984130606512737,0.13314509391784668,"[[56846, 119], [452, 284373]]",0.9988488732885663,euclidean,7,uniform
0.9984844495157845,0.9995747656818333,0.9986061616782235,0.999090228918075,0.9978758887035725,0.99860616167822,0.16832327842712402,"[[56844, 121], [397, 284428]]",0.998849016924433,euclidean,7,distance
0.9990696041428948,0.9995961185234093,0.9992872816641798,0.999441676235423,0.9979812165364523,0.9992872816641762,0.14890050888061523,"[[56850, 115], [203, 284622]]",0.9988423406147077,manhattan,3,uniform
0.9990871587817081,0.9995926179564172,0.9993118581585184,0.9994522183401513,0.997963661897639,0.9993118581585149,0.12937235832214355,"[[56849, 116], [196, 284629]]",0.9988423791045591,manhattan,3,distance
0.9988472453845929,0.9996135618705011,0.9990028965154042,0.9993081359003716,0.9980689897305188,0.9990028965154008,0.15830445289611816,"[[56855, 110], [284, 284541]]",0.9989487685978652,manhattan,5,uniform
0.9989174639398462,0.9996100844114558,0.9990906697094707,0.999350309568711,0.9980514350917056,0.9990906697094672,0.1537940502166748,"[[56854, 111], [259, 284566]]",0.9989488265945828,manhattan,5,distance
0.9986599959039176,0.99963103132017,0.9987606424997806,0.9991956473633742,0.9981567629245853,0.9987606424997771,0.1500706672668457,"[[56860, 105], [353, 284472]]",0.9990342054671937,manhattan,7,uniform
0.9987506948711197,0.9996310715088824,0.9988694812604231,0.9992501312709309,0.9981567629245853,0.9988694812604196,0.13303065299987793,"[[56860, 105], [322, 284503]]",0.9990343143420096,manhattan,7,distance
